title,genre,metaCritic,userScore
Trials Rising (XONE),"Genre(s): Racing,                                            Arcade,                                            Automobile                                    ",85,5.2
Outer Wilds (XONE),"Genre(s): Action Adventure,                                            Open-World                                    ",85,7.4
Final Fantasy X / X-2 HD Remaster (Switch),"Genre(s): Miscellaneous,                                            Compilation                                    ",85,8.6
DiRT Rally 2.0 (PC),"Genre(s): Racing,                                            Simulation,                                            Automobile                                    ",84,4.8
Crash Team Racing: Nitro-Fueled (XONE),"Genre(s): Racing,                                            Arcade,                                            Automobile                                    ",84,5.2
Control (PC),"Genre(s): Action Adventure,                                            General                                    ",84,7.1
VA-11 Hall-A: Cyberpunk Bartender Action (Switch),"Genre(s): Simulation,                                            General                                    ",84,8
DiRT Rally 2.0 (PS4),"Genre(s): Racing,                                            Simulation,                                            Automobile                                    ",84,5.7
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey (3DS),"Genre(s): Role-Playing,                                            Japanese-Style                                    ",84,7.5
Wargroove (Switch),"Genre(s): General,                                            Strategy,                                            Turn-Based,                                            Tactics                                    ",84,7.4
Bloodstained: Ritual of the Night (XONE),"Genre(s): Action,                                            Platformer,                                            2D,                                            Role-Playing,                                            Action RPG                                    ",84,7.8
Telling Lies (PC),"Genre(s): Adventure,                                            General                                    ",84,6.9
Tom Clancy's The Division 2 (PC),"Genre(s): First-Person,                                            Action,                                            Shooter,                                            Third-Person,                                            Tactical                                    ",84,6.2
Control (XONE),"Genre(s): Action Adventure,                                            General                                    ",84,7
F1 2019 (PS4),"Genre(s): Racing,                                            Simulation,                                            Automobile                                    ",84,7.5
Baba Is You (Switch),"Genre(s): Action Adventure,                                            Puzzle,                                            Action,                                            General                                    ",84,8.2
Ape Out (Switch),"Genre(s): Action,                                            Shooter,                                            Shoot-'Em-Up,                                            Top-Down                                    ",84,6.2
Sega Ages: OutRun (Switch),"Genre(s): Racing,                                            Arcade,                                            Automobile                                    ",84,7.3
Wargroove (PS4),"Genre(s): Strategy,                                            Turn-Based,                                            Tactics                                    ",84,5.1
Tetris 99 (Switch),"Genre(s): Puzzle,                                            Stacking                                    ",83,8.3
Tales of Vesperia: Definitive Edition (Switch),"Genre(s): Role-Playing,                                            Action RPG                                    ",83,7.7
